ID	Batiment	Momentjour	Face	Emplacement	Bait	Age_building	Date	Tunder_mean	Tground_mean	xcoord	ycoord
S10morningEA1miel	S10	morning	E	A1	miel	45	9	26.45	28.4	729564.2572	5832030.883
S10morningEA1thon	S10	morning	E	A1	thon	45	9	26.45	28.4	729564.2572	5832030.883
S10morningEA2miel	S10	morning	E	A2	miel	45	9	26.45	28.4	729564.2572	5832025.996
S10morningEA2thon	S10	morning	E	A2	thon	45	9	26.45	28.4	729564.2572	5832025.996
S10morningEA3miel	S10	morning	E	A3	miel	45	9	26.45	28.4	729563.7272	5832005.447
S10morningEA3thon	S10	morning	E	A3	thon	45	9	26.45	28.4	729563.7272	5832005.447
S10morningEA4miel	S10	morning	E	A4	miel	45	9	26.45	28.4	729563.7861	5832001.384
S10morningEA4thon	S10	morning	E	A4	thon	45	9	26.45	28.4	729563.7861	5832001.384
S10morningEA5miel	S10	morning	E	A5	miel	45	9	26.45	28.4	729563.6095	5831997.38
S10morningEA5thon	S10	morning	E	A5	thon	45	9	26.45	28.4	729563.6095	5831997.38
S10morningEB1miel	S10	morning	E	B1	miel	45	9	26.45	28.4	729569.2031	5832030.707
S10morningEB1thon	S10	morning	E	B1	thon	45	9	26.45	28.4	729569.2031	5832030.707
S10morningEB2miel	S10	morning	E	B2	miel	45	9	26.45	28.4	729569.2031	5832025.937
S10morningEB2thon	S10	morning	E	B2	thon	45	9	26.45	28.4	729569.2031	5832025.937
S10morningEB3miel	S10	morning	E	B3	miel	45	9	26.45	28.4	729569.9097	5832005.506
S10morningEB3thon	S10	morning	E	B3	thon	45	9	26.45	28.4	729569.9097	5832005.506
S10morningEB4miel	S10	morning	E	B4	miel	45	9	26.45	28.4	729569.3797	5832001.149
S10morningEB4thon	S10	morning	E	B4	thon	45	9	26.45	28.4	729569.3797	5832001.149
S10morningEB5miel	S10	morning	E	B5	miel	45	9	26.45	28.4	729567.9666	5831996.438
S10morningEB5thon	S10	morning	E	B5	thon	45	9	26.45	28.4	729567.9666	5831996.438
S10morningNA1miel	S10	morning	N	A1	miel	45	9	22.4	24.1	729538.4892	5832031.752
S10morningNA1thon	S10	morning	N	A1	thon	45	9	22.4	24.1	729538.4892	5832031.752
S10morningNA2miel	S10	morning	N	A2	miel	45	9	22.4	24.1	729543.7885	5832031.693
