ID	zone	building	time	Bface	position	baitType	empty	tap_mag	tap_err	las_nig	las_ema	myr_spe	myr_sab	myr_sch	myr_gra	tet_sp	sol_fug	for_cun	for_ruf	for_fus	pla_pyg	tem_sp
S1noonWA4thon	invaded	S1	noon	W	A4	thon	no	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWA5miel	invaded	S1	noon	W	A5	miel	no	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWA5thon	invaded	S1	noon	W	A5	thon	no	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWB1miel	invaded	S1	noon	W	B1	miel	no	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWB1thon	invaded	S1	noon	W	B1	thon	no	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWB2miel	invaded	S1	noon	W	B2	miel	no	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWB2thon	invaded	S1	noon	W	B2	thon	no	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWB3miel	invaded	S1	noon	W	B3	miel	no	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWB3thon	invaded	S1	noon	W	B3	thon	no	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWB4miel	invaded	S1	noon	W	B4	miel	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWB4thon	invaded	S1	noon	W	B4	thon	no	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWB5miel	invaded	S1	noon	W	B5	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWB5thon	invaded	S1	noon	W	B5	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNA1miel	invaded	S1	afternoon	N	A1	miel	no	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNA1thon	invaded	S1	afternoon	N	A1	thon	no	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNA2miel	invaded	S1	afternoon	N	A2	miel	no	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNA2thon	invaded	S1	afternoon	N	A2	thon	no	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNA3miel	invaded	S1	afternoon	N	A3	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNA3thon	invaded	S1	afternoon	N	A3	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNA4miel	invaded	S1	afternoon	N	A4	miel	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNA4thon	invaded	S1	afternoon	N	A4	thon	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNA5miel	invaded	S1	afternoon	N	A5	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNA5thon	invaded	S1	afternoon	N	A5	thon	no	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNB1miel	invaded	S1	afternoon	N	B1	miel	no	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNB1thon	invaded	S1	afternoon	N	B1	thon	no	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNB2miel	invaded	S1	afternoon	N	B2	miel	no	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
S1afternoonNB2thon	invaded	S1	afternoon	N	B2	thon	no	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0
S1afternoonNB3miel	invaded	S1	afternoon	N	B3	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNB3thon	invaded	S1	afternoon	N	B3	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNB4miel	invaded	S1	afternoon	N	B4	miel	no	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
S1afternoonNB4thon	invaded	S1	afternoon	N	B4	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNB5miel	invaded	S1	afternoon	N	B5	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonNB5thon	invaded	S1	afternoon	N	B5	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEA1miel	invaded	S1	afternoon	E	A1	miel	no	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEA1thon	invaded	S1	afternoon	E	A1	thon	no	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEA2miel	invaded	S1	afternoon	E	A2	miel	no	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
